timestamp,hour,minute,day_of_week,month,deployment,cpu,cpu_percent,memory_bytes,memory_percent,desired_replicas,available_replicas
1769002440,14,34,2,1,adservice,0.014349695638003725,4.783231879334576,76812288.0,24.41796875,1,1
1769002500,14,35,2,1,adservice,0.003966026285416426,1.3220087618054754,77000704.0,24.477864583333332,1,1
1769002440,14,34,2,1,cartservice,0.048670237405448055,8.111706234241343,85098496.0,31.70166015625,2,2
1769002500,14,35,2,1,cartservice,0.01715582091524162,2.8593034858736037,85450752.0,31.8328857421875,2,2
1769002440,14,34,2,1,checkoutservice,0.0013230276606907032,0.6615138303453515,11718656.0,8.7310791015625,1,1
1769002500,14,35,2,1,checkoutservice,0.0008197948158794664,0.40989740793973317,11755520.0,8.758544921875,1,1
1769002440,14,34,2,1,currencyservice,0.014937294432055387,3.7343236080138467,38154240.0,14.21356201171875,2,2
1769002500,14,35,2,1,currencyservice,0.0021588236554275202,0.53970591385688,38326272.0,14.27764892578125,2,2
1769002440,14,34,2,1,emailservice,0.0030349116255912346,1.5174558127956173,45039616.0,33.55712890625,1,1
1769002500,14,35,2,1,emailservice,0.0029350317157444206,1.4675158578722103,45068288.0,33.5784912109375,1,1
1769002440,14,34,2,1,frontend,0.012555061801552843,3.1387654503882105,27107328.0,10.0982666015625,2,2
1769002500,14,35,2,1,frontend,0.0010700940232307907,0.2675235058076977,26189824.0,9.7564697265625,2,2
1769002440,14,34,2,1,paymentservice,0.002346627701746818,0.5866569254367046,31842304.0,11.8621826171875,2,2
1769002500,14,35,2,1,paymentservice,0.0021474519720698264,0.5368629930174565,32890880.0,12.2528076171875,2,2
1769002440,14,34,2,1,productcatalogservice,0.006029328025070755,1.5073320062676887,21958656.0,8.18023681640625,2,2
1769002500,14,35,2,1,productcatalogservice,0.0016086374061756213,0.4021593515439053,22220800.0,8.27789306640625,2,2
1769002440,14,34,2,1,recommendationservice,0.007022030135880535,3.511015067940267,43646976.0,9.25,1,1
1769002500,14,35,2,1,recommendationservice,0.003271149532710277,1.6355747663551385,43646976.0,9.25,1,1
1769002440,14,34,2,1,redis-cart,0.004019826420087086,3.215861136069669,10215424.0,3.8055419921875,1,1
1769002500,14,35,2,1,redis-cart,0.0034799695692309513,2.783975655384761,10477568.0,3.9031982421875,1,1
1769002440,14,34,2,1,shippingservice,0.0013237248099636735,0.6618624049818367,11333632.0,8.4442138671875,1,1
1769002500,14,35,2,1,shippingservice,0.0011840925993020725,0.5920462996510362,11505664.0,8.5723876953125,1,1
1769002500,14,35,2,1,adservice,0.003966026285416426,1.3220087618054754,77000704.0,24.477864583333332,1,1
1769002560,14,36,2,1,adservice,0.004136023364033813,1.3786744546779375,77262848.0,24.561197916666664,1,1
1769002500,14,35,2,1,cartservice,0.01715582091524162,2.8593034858736037,85450752.0,31.8328857421875,2,2
1769002560,14,36,2,1,cartservice,0.028776623084476358,4.796103847412726,86650880.0,32.27996826171875,2,2
1769002500,14,35,2,1,checkoutservice,0.0008197948158794664,0.40989740793973317,11755520.0,8.758544921875,1,1
1769002560,14,36,2,1,checkoutservice,0.0008279296561239054,0.41396482806195267,11788288.0,8.782958984375,1,1
1769002500,14,35,2,1,currencyservice,0.0021588236554275202,0.53970591385688,38326272.0,14.27764892578125,2,2
1769002560,14,36,2,1,currencyservice,0.002184537784420025,0.5461344461050062,39059456.0,14.55078125,2,2
1769002500,14,35,2,1,emailservice,0.0029350317157444206,1.4675158578722103,45068288.0,33.5784912109375,1,1
1769002560,14,36,2,1,emailservice,0.002863656519308259,1.4318282596541296,45064192.0,33.575439453125,1,1
1769002500,14,35,2,1,frontend,0.0010700940232307907,0.2675235058076977,26189824.0,9.7564697265625,2,2
1769002560,14,36,2,1,frontend,0.0010981982016071677,0.2745495504017919,26202112.0,9.76104736328125,2,2
1769002500,14,35,2,1,paymentservice,0.0021474519720698264,0.5368629930174565,32890880.0,12.2528076171875,2,2
1769002560,14,36,2,1,paymentservice,0.0021983396234017977,0.5495849058504494,33816576.0,12.59765625,2,2
1769002500,14,35,2,1,productcatalogservice,0.0016086374061756213,0.4021593515439053,22220800.0,8.27789306640625,2,2
1769002560,14,36,2,1,productcatalogservice,0.0015481275916784608,0.3870318979196152,22306816.0,8.3099365234375,2,2
1769002500,14,35,2,1,recommendationservice,0.003271149532710277,1.6355747663551385,43646976.0,9.25,1,1
1769002560,14,36,2,1,recommendationservice,0.0033039807812684997,1.6519903906342497,43646976.0,9.25,1,1
1769002500,14,35,2,1,redis-cart,0.0034799695692309513,2.783975655384761,10477568.0,3.9031982421875,1,1
1769002560,14,36,2,1,redis-cart,0.0038403437400862145,3.0722749920689716,10215424.0,3.8055419921875,1,1
1769002500,14,35,2,1,shippingservice,0.0011840925993020725,0.5920462996510362,11505664.0,8.5723876953125,1,1
1769002560,14,36,2,1,shippingservice,0.0011020887384020058,0.5510443692010029,11509760.0,8.575439453125,1,1
1769002560,14,36,2,1,adservice,0.004136023364033813,1.3786744546779375,77262848.0,24.561197916666664,1,1
1769002620,14,37,2,1,adservice,0.01479075642740378,4.930252142467927,79360000.0,25.227864583333332,1,1
1769002560,14,36,2,1,cartservice,0.028776623084476358,4.796103847412726,86650880.0,32.27996826171875,2,2
1769002620,14,37,2,1,cartservice,0.027662984908069812,4.610497484678302,88539136.0,32.9833984375,2,2
1769002560,14,36,2,1,checkoutservice,0.0008279296561239054,0.41396482806195267,11788288.0,8.782958984375,1,1
1769002620,14,37,2,1,checkoutservice,0.0009374514774247256,0.4687257387123628,11808768.0,8.7982177734375,1,1
1769002560,14,36,2,1,currencyservice,0.002184537784420025,0.5461344461050062,39059456.0,14.55078125,2,2
1769002620,14,37,2,1,currencyservice,0.00961818877003104,2.40454719250776,41828352.0,15.582275390625,2,2
1769002560,14,36,2,1,emailservice,0.002863656519308259,1.4318282596541296,45064192.0,33.575439453125,1,1
1769002620,14,37,2,1,emailservice,0.0028283605655151285,1.4141802827575642,45076480.0,33.5845947265625,1,1
1769002560,14,36,2,1,frontend,0.0010981982016071677,0.2745495504017919,26202112.0,9.76104736328125,2,2
1769002620,14,37,2,1,frontend,0.009255024527186621,2.3137561317966555,27627520.0,10.29205322265625,2,2
