timestamp,hour,minute,day_of_week,month,deployment,cpu,cpu_percent,memory_bytes,memory_percent,desired_replicas,available_replicas
1769126400,1,0,4,1,adservice,0.02428993543015936,8.096645143386453,100716544.0,32.016927083333336,1,1
1769126400,1,0,4,1,cartservice,0.1518481063270329,25.308017721172156,116387840.0,43.35784912109375,2,2
1769126400,1,0,4,1,checkoutservice,0.018056450360942517,9.028225180471258,16920576.0,12.6068115234375,1,1
1769126400,1,0,4,1,currencyservice,0.2250236695467209,28.127958693340112,206426112.0,38.449859619140625,4,4
1769126400,1,0,4,1,emailservice,0.008108967695914003,4.054483847957002,45707264.0,34.0545654296875,1,1
1769126400,1,0,4,1,frontend,0.5054588105802061,42.121567548350505,133373952.0,16.5618896484375,6,6
1769126400,1,0,4,1,paymentservice,0.004718907446743379,1.1797268616858445,103587840.0,38.5894775390625,2,2
1769126400,1,0,4,1,productcatalogservice,0.21662993881519216,36.104989802532025,49643520.0,12.3291015625,3,3
1769126400,1,0,4,1,recommendationservice,0.2383173367420765,29.789667092759558,176803840.0,9.36740451388889,4,4
1769126400,1,0,4,1,redis-cart,0.013523326399393265,10.818661119514612,12922880.0,4.81414794921875,1,1
1769126400,1,0,4,1,shippingservice,0.016052544268759326,8.026272134379662,15519744.0,11.5631103515625,1,1
1769126400,1,0,4,1,adservice,0.02428993543015936,8.096645143386453,100716544.0,32.016927083333336,1,1
1769126460,1,1,4,1,adservice,0.024414247674769622,8.138082558256542,100716544.0,32.016927083333336,1,1
1769126400,1,0,4,1,cartservice,0.1518481063270329,25.308017721172156,116387840.0,43.35784912109375,2,2
1769126460,1,1,4,1,cartservice,0.14794659807568292,24.657766345947156,116322304.0,43.33343505859375,2,2
1769126400,1,0,4,1,checkoutservice,0.018056450360942517,9.028225180471258,16920576.0,12.6068115234375,1,1
1769126460,1,1,4,1,checkoutservice,0.020573152167783798,10.2865760838919,16961536.0,12.6373291015625,1,1
1769126400,1,0,4,1,currencyservice,0.2250236695467209,28.127958693340112,206426112.0,38.449859619140625,4,4
1769126460,1,1,4,1,currencyservice,0.22724040368763707,28.405050460954634,207208448.0,38.5955810546875,4,4
1769126400,1,0,4,1,emailservice,0.008108967695914003,4.054483847957002,45707264.0,34.0545654296875,1,1
1769126460,1,1,4,1,emailservice,0.008901892735554789,4.450946367777394,45703168.0,34.051513671875,1,1
1769126400,1,0,4,1,frontend,0.5054588105802061,42.121567548350505,133373952.0,16.5618896484375,6,6
1769126460,1,1,4,1,frontend,0.5189678071417861,43.2473172618155,135004160.0,16.764322916666664,6,6
1769126400,1,0,4,1,paymentservice,0.004718907446743379,1.1797268616858445,103587840.0,38.5894775390625,2,2
1769126460,1,1,4,1,paymentservice,0.0055713989700286485,1.392849742507162,104185856.0,38.812255859375,2,2
1769126400,1,0,4,1,productcatalogservice,0.21662993881519216,36.104989802532025,49643520.0,12.3291015625,3,3
1769126460,1,1,4,1,productcatalogservice,0.22707228376152594,37.845380626920985,50008064.0,12.419637044270832,3,3
1769126400,1,0,4,1,recommendationservice,0.2383173367420765,29.789667092759558,176803840.0,9.36740451388889,4,4
1769126460,1,1,4,1,recommendationservice,0.24099348254089561,30.12418531761195,177098752.0,9.38302951388889,4,4
1769126400,1,0,4,1,redis-cart,0.013523326399393265,10.818661119514612,12922880.0,4.81414794921875,1,1
1769126460,1,1,4,1,redis-cart,0.013032949257932346,10.426359406345878,12922880.0,4.81414794921875,1,1
1769126400,1,0,4,1,shippingservice,0.016052544268759326,8.026272134379662,15519744.0,11.5631103515625,1,1
1769126460,1,1,4,1,shippingservice,0.0172903343635864,8.645167181793202,15650816.0,11.6607666015625,1,1
1769126460,1,1,4,1,adservice,0.024414247674769622,8.138082558256542,100716544.0,32.016927083333336,1,1
1769126520,1,2,4,1,adservice,0.024616889312977282,8.205629770992427,100716544.0,32.016927083333336,1,1
1769126460,1,1,4,1,cartservice,0.14794659807568292,24.657766345947156,116322304.0,43.33343505859375,2,2
1769126520,1,2,4,1,cartservice,0.13372324117298068,22.287206862163448,116293632.0,43.32275390625,2,2
1769126460,1,1,4,1,checkoutservice,0.020573152167783798,10.2865760838919,16961536.0,12.6373291015625,1,1
1769126520,1,2,4,1,checkoutservice,0.02241671461309667,11.208357306548335,16822272.0,12.5335693359375,1,1
1769126460,1,1,4,1,currencyservice,0.22724040368763707,28.405050460954634,207208448.0,38.5955810546875,4,4
1769126520,1,2,4,1,currencyservice,0.22478254645012086,28.097818306265104,209735680.0,39.066314697265625,4,4
1769126460,1,1,4,1,emailservice,0.008901892735554789,4.450946367777394,45703168.0,34.051513671875,1,1
1769126520,1,2,4,1,emailservice,0.00918215957071558,4.591079785357789,45703168.0,34.051513671875,1,1
1769126460,1,1,4,1,frontend,0.5189678071417861,43.2473172618155,135004160.0,16.764322916666664,6,6
1769126520,1,2,4,1,frontend,0.5176434180750554,43.13695150625461,134979584.0,16.761271158854164,6,6
1769126460,1,1,4,1,paymentservice,0.0055713989700286485,1.392849742507162,104185856.0,38.812255859375,2,2
1769126520,1,2,4,1,paymentservice,0.006109978773140071,1.5274946932850177,105218048.0,39.19677734375,2,2
1769126460,1,1,4,1,productcatalogservice,0.22707228376152594,37.845380626920985,50008064.0,12.419637044270832,3,3
1769126520,1,2,4,1,productcatalogservice,0.22950043478719717,38.250072464532856,49704960.0,12.3443603515625,3,3
1769126460,1,1,4,1,recommendationservice,0.24099348254089561,30.12418531761195,177098752.0,9.38302951388889,4,4
1769126520,1,2,4,1,recommendationservice,0.2420688453243848,30.2586056655481,177102848.0,9.383246527777779,4,4
1769126460,1,1,4,1,redis-cart,0.013032949257932346,10.426359406345878,12922880.0,4.81414794921875,1,1
1769126520,1,2,4,1,redis-cart,0.01290436813596465,10.32349450877172,12926976.0,4.815673828125,1,1
1769126460,1,1,4,1,shippingservice,0.0172903343635864,8.645167181793202,15650816.0,11.6607666015625,1,1
1769126520,1,2,4,1,shippingservice,0.017150644183035482,8.57532209151774,15704064.0,11.700439453125,1,1
1769126520,1,2,4,1,adservice,0.024616889312977282,8.205629770992427,100716544.0,32.016927083333336,1,1
1769126580,1,3,4,1,adservice,0.02415779116834503,8.05259705611501,100814848.0,32.048177083333336,1,1
1769126520,1,2,4,1,cartservice,0.13372324117298068,22.287206862163448,116293632.0,43.32275390625,2,2
1769126580,1,3,4,1,cartservice,0.1265375531875055,21.089592197917586,116383744.0,43.3563232421875,2,2
1769126520,1,2,4,1,checkoutservice,0.02241671461309667,11.208357306548335,16822272.0,12.5335693359375,1,1
1769126580,1,3,4,1,checkoutservice,0.01868231318410986,9.34115659205493,16842752.0,12.548828125,1,1
1769126520,1,2,4,1,currencyservice,0.22478254645012086,28.097818306265104,209735680.0,39.066314697265625,4,4
1769126580,1,3,4,1,currencyservice,0.22307444620939343,27.88430577617418,210026496.0,39.1204833984375,4,4
1769126520,1,2,4,1,emailservice,0.00918215957071558,4.591079785357789,45703168.0,34.051513671875,1,1
1769126580,1,3,4,1,emailservice,0.008182146496701338,4.091073248350669,45707264.0,34.0545654296875,1,1
1769126520,1,2,4,1,frontend,0.5176434180750554,43.13695150625461,134979584.0,16.761271158854164,6,6
1769126580,1,3,4,1,frontend,0.5036439363788207,41.970328031568386,133406720.0,16.565958658854164,6,6
1769126520,1,2,4,1,paymentservice,0.006109978773140071,1.5274946932850177,105218048.0,39.19677734375,2,2
1769126580,1,3,4,1,paymentservice,0.005068600823193062,1.2671502057982655,106475520.0,39.66522216796875,2,2
1769126520,1,2,4,1,productcatalogservice,0.22950043478719717,38.250072464532856,49704960.0,12.3443603515625,3,3
1769126580,1,3,4,1,productcatalogservice,0.2273396786160967,37.88994643601611,50839552.0,12.626139322916666,3,3
1769126520,1,2,4,1,recommendationservice,0.2420688453243848,30.2586056655481,177102848.0,9.383246527777779,4,4
1769126580,1,3,4,1,recommendationservice,0.24259165026184187,30.32395628273023,177045504.0,9.380208333333332,4,4
1769126520,1,2,4,1,redis-cart,0.01290436813596465,10.32349450877172,12926976.0,4.815673828125,1,1
1769126580,1,3,4,1,redis-cart,0.012639016351382017,10.111213081105614,12926976.0,4.815673828125,1,1
1769126520,1,2,4,1,shippingservice,0.017150644183035482,8.57532209151774,15704064.0,11.700439453125,1,1
1769126580,1,3,4,1,shippingservice,0.01664274545224946,8.32137272612473,15716352.0,11.7095947265625,1,1
1769126580,1,3,4,1,adservice,0.02415779116834503,8.05259705611501,100814848.0,32.048177083333336,1,1
1769126640,1,4,4,1,adservice,0.024921176757063845,8.307058919021282,100712448.0,32.015625,1,1
1769126580,1,3,4,1,cartservice,0.1265375531875055,21.089592197917586,116383744.0,43.3563232421875,2,2
1769126640,1,4,4,1,cartservice,0.14285830996880372,23.809718328133954,116314112.0,43.33038330078125,2,2
1769126580,1,3,4,1,checkoutservice,0.01868231318410986,9.34115659205493,16842752.0,12.548828125,1,1
1769126640,1,4,4,1,checkoutservice,0.017991017465495893,8.995508732747947,16900096.0,12.591552734375,1,1
1769126580,1,3,4,1,currencyservice,0.22307444620939343,27.88430577617418,210026496.0,39.1204833984375,4,4
1769126640,1,4,4,1,currencyservice,0.21715558780662653,27.144448475828316,212590592.0,39.59808349609375,4,4
1769126580,1,3,4,1,emailservice,0.008182146496701338,4.091073248350669,45707264.0,34.0545654296875,1,1
1769126640,1,4,4,1,emailservice,0.008168588360028544,4.084294180014272,45707264.0,34.0545654296875,1,1
1769126580,1,3,4,1,frontend,0.5036439363788207,41.970328031568386,133406720.0,16.565958658854164,6,6
1769126640,1,4,4,1,frontend,0.5197887865429274,43.31573221191061,130850816.0,16.248575846354164,6,6
1769126580,1,3,4,1,paymentservice,0.005068600823193062,1.2671502057982655,106475520.0,39.66522216796875,2,2
1769126640,1,4,4,1,paymentservice,0.004892842538687653,1.2232106346719132,106766336.0,39.7735595703125,2,2
1769126580,1,3,4,1,productcatalogservice,0.2273396786160967,37.88994643601611,50839552.0,12.626139322916666,3,3
1769126640,1,4,4,1,productcatalogservice,0.22911863573297878,38.18643928882979,50475008.0,12.535603841145834,3,3
1769126580,1,3,4,1,recommendationservice,0.24259165026184187,30.32395628273023,177045504.0,9.380208333333332,4,4
