Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,112750,64,190.0,389.80039768350497,3.5578282549977303,16886.1139761284,10564.735787139689,1.1738693891063148,0.0006663205401579081,190,300,410,500,890,1400,2300,3000,9500,13000,17000
GET,/cart,319861,71,140.0,248.11369089430931,0.6497614085674286,12060.866701416671,14496.32274019027,3.330155535866385,0.0007391993492376793,140,230,300,360,580,860,1300,1600,3500,6600,12000
POST,/cart,318560,52,200.0,312.3730552043691,3.0728550627827644,13399.902722798288,18446.170564414868,3.3166104886359875,0.0005413854388783004,200,300,390,440,640,910,1400,1800,3900,7300,13000
POST,/cart/checkout,105744,521,180.0,265.61679835711175,3.599606454372406,7969.890546053648,6798.545127855954,1.1009281124759036,0.005424265647222971,180,260,310,380,580,820,1300,1700,3700,6200,8000
GET,/product/0PUK6V6EV0,153841,24,120.0,203.84725975289513,1.5789959579706192,6624.5598290115595,8016.670445459923,1.6016784096630117,0.00024987020255921557,120,180,240,280,470,770,1100,1400,2500,5600,6600
GET,/product/1YMWWN1N4O,154360,22,120.0,203.2981491292713,4.027144983410835,6917.103420943022,8038.046171287899,1.6070818527933546,0.00022904768567928092,120,190,240,280,470,760,1100,1400,2400,5700,6900
GET,/product/2ZYFJ3GM2N,153872,30,120.0,202.12143027229627,4.152579233050346,6507.910244166851,8034.444973744411,1.6020011586746505,0.0003123377531990194,120,180,240,280,470,750,1100,1400,2400,5700,6500
GET,/product/66VCHSJNUP,154073,21,120.0,202.8045546201184,1.56451016664505,6917.230854742229,8001.530417399545,1.604093821621084,0.00021863642723931361,120,180,240,280,470,760,1100,1400,2400,5500,6900
GET,/product/6E92ZMYYFZ,154503,35,120.0,204.20130220375017,4.32957336306572,6858.01606439054,7990.84365352129,1.60857066275027,0.000364394045398856,120,190,240,290,470,770,1100,1400,2400,5300,6900
GET,/product/9SIQT8TOJO,153872,20,120.0,203.7760332752347,2.251255325973034,6539.227276109159,8042.343811739628,1.6020011586746505,0.00020822516879934628,120,180,240,280,470,770,1100,1400,2400,5400,6500
GET,/product/L9ECAV7KIM,154421,20,120.0,204.68261552463304,3.896920010447502,6887.480296194553,8008.949929089956,1.6077169395581927,0.00020822516879934628,120,180,240,280,470,770,1100,1400,2500,5300,6900
GET,/product/LS4PSXUNUM,154242,24,120.0,203.40343250372297,4.535343497991562,6581.296308897436,8007.595823446272,1.6058533242974384,0.00024987020255921557,120,180,240,280,470,760,1100,1400,2400,5500,6600
GET,/product/OLJCESPC7Z,153604,24,120.0,202.94327666747006,4.1484534740448,6904.9895433709025,8040.682124163433,1.5992109414127393,0.00024987020255921557,120,180,240,290,470,760,1100,1400,2400,5400,6900
POST,/setCurrency,213732,74,190.0,361.9774704882786,2.252642996609211,16179.248264990747,10570.66103812251,2.225219088891094,0.0007704331245575813,190,290,380,460,810,1300,2200,2800,7500,13000,16000
,Aggregated,2457435,1002,140.0,248.39818288162755,0.6497614085674286,16886.1139761284,10500.610992762779,25.584990884421078,0.010432080956847249,140,220,290,340,570,870,1300,1700,3900,9000,17000
